CurrentHandle,NameFirst NameLast,CountryCode
Xz,Zezhi Chen,cn
EGM,Jerry Lundqvist,se
XBOCT,Oleksandr Dashkevych,ua
Shiki,Jiwei Huang,cn
Akke,Joakim Akterhall,se
Fade,Pan Yi,cn
AdmiralBulldog,Henrik Ahnberg,se
Raven,Marc Polo Luis Fausto,ph
Febby,Yong Min Kim,kr
Inflame,Yongzheng He,cn
Dy,Cong Ding,cn
QO,Sunyeob Kim,kr
fng,Artem Barshack,by
MP,Noah Pyo,kr
Faker,Sang Hyeok Lee,kr
Duke,Ho Seong Lee,kr
Bang,Jun Sik Bae,kr
Wolf,Jae Wan Lee,kr
Bengi,Seong Ung Bae,kr
JackeyLove,Wen Bo Yu,cn
Rookie,Eui Jin Song,kr
Ning,Zhen Ning Gao,cn
Blank,Sun Gu Kang,kr
CoreJJ,Jo Yong-in,kr
Ambition,Chan Yong Kang,kr
Baolan,Liu Yi Wang,cn
Uzi,Zihao Jian,cn
Karsa,Hau Hsuan Hung,tw
TheShy,Dong Geun Kang,kr
Mata,Se Hyeong Cho,kr
Ruler,Jae Hyuk Park,kr
Impact,Jung Eon-yeong,kr
xiaohu,Yuan Hao Li,cn
CuVee,Seong Jin Lee,kr
Crown,Min Ho Lee,kr
Peanut,Wang Ho Han,kr
Mlxg,Shi Yu Liu,cn
PerkZ,Luka Perković,hr
ClearLove,Kai Ming,cn
Caps,Rasmus Winther,dk
PawN,Won Seok Heo,kr
Rekkles,Martin Larsson,se
sOAZ,Paul Boyer,fr
Deft,Hyuk Kyu Kim,kr
Jankos,Marcin Jankowski,pl
Ming,Sen Ming Shi,cn
PraY,Jong In Kim,kr
letme,Jun Ze Yan,cn
Haru,Min Seung Kang,kr
Huni,Seung Hoon Heo,kr
Looper,Hyeong Seok Jang,kr
Meiko,Ye Tian,cn
SwordArt,Shuo Jie Hu,tw
Wunder,Martin Hansen,dk
doinb,Tae Sang Kim,kr
GorillA,Beom Hyeon Kang,kr
Hylissang,Zdravec Gulubov,bg
imp,Seung Bin Gu,kr
Broxah,Mads Brock-Pedersen,dk
Doublelift,Peter Peng,us
Smeb,Kyung Ho Song,kr
Bwipo,Gabriël Rau,be
bebe,Bo Wei Cheng,tw
Sneaky,Zachary Scuderi,us
DanDy,In Kyu Choi,kr
Lwx,Wei Xiang Lin,cn
Tian,Tian Liang Gao,cn
kurO,Seo Haeng Lee,kr
GimGoon,Han Saem Kim,kr
Crisp,Qing Song Liu,cn
Piglet,Gwang Jin Chae,kr
Jensen,Nicolaj Jensen,dk
Koro1,Yang Tong,cn
Xmithie,Jake Puchero,ph
Svenskeren,Dennis Johnsen,dk
PoohManDu,Jeong Hyeon Lee,kr
Mithy,Alfonso Aguirre Rodriguez,es
Zven,Jesper Svenningsen,dk
Bjergsen,Søren Bjerg,dk
Easyhoon,Ji Hoon Lee,kr
Scout,Ye Chan Lee,kr
Maple,Yi Tang Huang,tw
Khan,Dong Ha Kim,kr
Zero,Kyung Sup Yoon,kr
Stanley,June Tsan Wang,tw
Toyz,Kurtis Wai Kin Lau,hk
Mikyx,Mihael Mehle,si
MaRin,Gyeong Hwan Jang,kr
Lilballz,Kuan Po Sung,tw
MiSTakE,Hui Chung Chen,tw
xiye,Han Wei Su,cn
Mouse,Yu Hao Chen,cn
Zzitai,Zhihao Liu,cn
Mystic,Sung Joon Jin,kr
Score,Dong Bin Go,kr
Ryu,Sang Ook Yoo,kr
YellOwStaR,Bora Kim,fr
Bdd,Bo Seong Gwak,kr
WildTurtle,Jason Tran,ca
Knight,Ding Zhuo,cn
Trick,Gang Yun Kim,kr
Betty,Yu Hung Lu,tw
ShowMaker,Su Heo,kr
Nuguri,Ha Gwon Jang,kr
Canyon,Geon Bu Kim,kr
369,Jia Hao Bai,cn
BeryL,Geon Hee Cho,kr
LokeN,Dong Wook Lee,kr
xPeke,Enrique Cedeño Martinez,es
Expect,Dae Han Gi,kr
Fzzf,Zhuojun Feng,cn
Condi,Ren Jie Xiang,cn
Hjärnan,Petter Freyschuss,se
957,Chang Yu Ke,cn
Bugha,Kyle Giersdorf,us
Aqua,David Wang,at
psalm,Harrison Chang,us
Nyhrox,Emil Bergquist Pedersen,no
EpikWhale,Shane Cotton,us
Wolfiez,Jaden Ashman,gb
Rojo,Dave Jong,nl
Kreo,Nate Kou,hk
Zayt,Williams Aubin,ca
Saf,Rocco Morales,us
Ceice,Davis McClellan,us
kinG,Thiago Lapp,ar
Elevate,Hayden Krueger,us
Skite,Clément Danglot,fr
Mitr0,Dmitri Van de Vrie,nl
Crue,Theo Ferrer,se
Mongraal,Kyle Jackson,gb
Bizzle,Timothy Miller,us
Arkhram,Diego Lima,us
Tfue,Turner Tenney,us
ZexRow,Anthony Colandro,us
BenjyFishy,Benjy David Fish,gb
stompy,Klaus Konstanzer,at
Falconer,Brendan Falconer,us
Nayte,Nathan Berquignol,fr
Dubs,Daniel Walsh,us
Cloakzy,Dennis Lepore,us
Nate Hill,Nate Hill,us
Vivid,Noah Wright,us
Kinstaar,Duong Huynh,ch
Megga,Noam Ackenine,us
Riversan,River Handley,us
Vinny,Vinny Gilgan,us
Cizzorz,Jack -,us
hiimtylerh,Tyler -,ca
Suezhoo,Stephan -,be
Zand,- -,dk
Chap,Ryan Chaplo,us
Tschiiinken,Thomas Hörak,at
Poach,Jake Brumleve,us
FunkBomb,Trevor Siegler,us
72hrs,Thomas Mulligan,us
Vato,Pierre Mesey,ch
MrSavage,Martin Foss,no
Domentos,Domeniks Bunts,lv
Reverse2k,Malachi Greiner,us
Clix,Cody Conrod,us
Morgausse,Austin Etue,us
MackWood,Mack Aesoph,us
Dmo,Dylan Moore,us
yung calculator,Jonathan Weber,us
Hunter,Corentin Tardif,fr
Fatch,William Paquin-Brien,ca
Commandment,Josh Roach,us
Rhux,Keenan Santos,us
itemm,Calum MacGillivray,gb
Aspect,Nick McGuire,us
Boyer,Adam Boyer-Dræby,dk
Pate1k,Patrik Zaharchenko,no
Svennoss,Sven Edelenbosch,nl
TaySon,Tai Starčič,si
Kamo,Liam Fillery,de
Derox,Fabian Real,de
Fwexy,Yan Kaur,ru
Letw1k3,Mark Danilov,ru
7ssk7,Artur Kurshin,by
JannisZ,Jannis Matwin,de
Th0masHD,Thomas Davidsen,dk
Andilex,Alexandre Christophe,fr
Pika,Julio Cesar Nevarez,us
Teeqzy,Klaivert Dervishi,be
BELAEU,Lassi Kallio,fi
Endretta,Endre Byre,no
Aïrwaks,Karim Benghalia,ch
Sean,Sean Close,ca
Wakie,Felix Hortlund,se
Jamside,Jamal Saidayev,ru
Aydan,Aydan Conrad,us
Tchub,Pontus Bucht,se
Noward,Howard Castiaux,be
K1nzell,Blaž Lešnik,si
Cented,Evan Barron,ca
Unknown,Dominick Green,us
Znappy,Alexander Zayedli,se
LeNain,David Bois,ca
Edgey,Ben Peterson,us
Blax,Maxime Thomas,fr
Tendons,Anthony Waller,us
Peterpan,Jong Su Lee,kr
TheVic,Victor Lopez,fr
Furious,- -,us
Ninja,Tyler Blevins,us
